total_acc,count
1.0,21
2.0,1333
3.0,4244
4.0,10456
5.0,16398
6.0,23858
7.0,31471
8.0,38722
9.0,46406
10.0,53576
11.0,59705
12.0,65217
13.0,70611
14.0,74211
15.0,77146
16.0,79655
17.0,81378
18.0,81931
19.0,82012
20.0,82570
21.0,81170
22.0,79438
23.0,77691
24.0,75330
25.0,72476
26.0,68903
27.0,65726
28.0,61547
29.0,58460
30.0,55123
31.0,51251
32.0,47997
33.0,44237
34.0,40850
35.0,37779
36.0,34756
37.0,31816
38.0,28869
39.0,26427
40.0,24151
41.0,21859
42.0,20172
43.0,18007
44.0,16473
45.0,14664
46.0,13141
47.0,12160
48.0,10726
49.0,9582
50.0,8602
51.0,7722
52.0,6842
53.0,6131
54.0,5452
55.0,4777
56.0,4295
57.0,3788
58.0,3434
59.0,3123
60.0,2692
61.0,2566
62.0,2393
63.0,3051
64.0,1564
65.0,1363
66.0,1196
67.0,1031
68.0,999
69.0,844
70.0,732
71.0,637
72.0,550
73.0,535
74.0,494
75.0,432
76.0,373
77.0,317
78.0,291
79.0,276
80.0,213
81.0,211
82.0,166
83.0,180
84.0,154
85.0,155
86.0,119
87.0,135
88.0,97
89.0,108
90.0,119
91.0,71
92.0,64
93.0,70
94.0,57
95.0,54
96.0,47
97.0,37
98.0,35
99.0,31
100.0,20
101.0,30
102.0,25
103.0,14
104.0,10
105.0,23
106.0,17
107.0,15
108.0,9
109.0,16
110.0,10
111.0,9
112.0,8
113.0,11
114.0,3
115.0,6
116.0,7
117.0,4
118.0,8
119.0,4
120.0,4
121.0,4
122.0,4
123.0,3
124.0,3
125.0,2
126.0,2
127.0,2
128.0,1
129.0,2
130.0,1
133.0,5
135.0,1
136.0,1
137.0,3
138.0,2
140.0,2
141.0,1
144.0,2
145.0,1
146.0,2
148.0,1
150.0,1
151.0,3
153.0,1
156.0,1
157.0,1
160.0,2
162.0,1
165.0,1
169.0,1
173.0,1
176.0,1
,29
